adjClose,diff_log,shift_1,shift_2,shift_3,shift_4,shift_5,shift_6,shift_7,rolling_8,rolling_16,rolling_32,rolling_64,rolling_128,rolling_256,target
82.81924505799999,0.12359841730801766,0.08270040245379637,0.10506472800807462,0.16280445551724818,0.09761779679884772,0.09677676369898411,0.11892990910937748,0.12318117525344693,0.03176034669382241,0.01800053161302076,0.01143122448458486,0.006601660047159562,0.003978183853972589,0.0022043520037474734,0.11324326692618211
82.6005380022,0.11324326692618211,0.12359841730801766,0.08270040245379637,0.10506472800807462,0.16280445551724818,0.09761779679884772,0.09677676369898411,0.11892990910937748,0.03051810815291431,0.01863661127704727,0.011189484052520902,0.006902710243293016,0.0038328975092361195,0.002349848332747785,0.13330452970167336
84.0517926172,0.13330452970167336,0.11324326692618211,0.12359841730801766,0.08270040245379637,0.10506472800807462,0.16280445551724818,0.09761779679884772,0.09677676369898411,0.032314935726951294,0.021148450993019235,0.012489460223464697,0.007292985648615551,0.003982167359502255,0.002410901783522805,0.11683316227767357
84.1313118146,0.11683316227767357,0.13330452970167336,0.11324326692618211,0.12359841730801766,0.08270040245379637,0.10506472800807462,0.16280445551724818,0.09761779679884772,0.034821985549287476,0.02037795971353676,0.011886201748136841,0.007568007907925388,0.003973059067482194,0.002477884600412309,0.11399538757765168
83.97227341989999,0.11399538757765168,0.11683316227767357,0.13330452970167336,0.11324326692618211,0.12359841730801766,0.08270040245379637,0.10506472800807462,0.16280445551724818,0.03686918439663797,0.021545793192089074,0.011553073961757391,0.00767021552008637,0.003907356888185629,0.002249976298267067,0.12225889242967711
84.50899873899999,0.12225889242967711,0.11399538757765168,0.11683316227767357,0.13330452970167336,0.11324326692618211,0.12359841730801766,0.08270040245379637,0.10506472800807462,0.03180098901069159,0.023780898545365275,0.0122952824134252,0.008164528168049271,0.00392283069968783,0.002261486828810974,0.12046431673725064
84.8966643685,0.12046431673725064,0.12225889242967711,0.11399538757765168,0.11683316227767357,0.13330452970167336,0.11324326692618211,0.12359841730801766,0.08270040245379637,0.03372593760183859,0.023635273220012937,0.012496800051787852,0.00772369938968484,0.003882348460178298,0.0023263882333728015,0.12579022798814762
85.74154629819999,0.12579022798814762,0.12046431673725064,0.12225889242967711,0.11399538757765168,0.11683316227767357,0.13330452970167336,0.11324326692618211,0.12359841730801766,0.0391121657936325,0.022407363001962305,0.013078234605050558,0.007807599279184909,0.0039726371504508464,0.0024041249603180158,0.1101909494902252
85.2545007567,0.1101909494902252,0.12579022798814762,0.12046431673725064,0.12225889242967711,0.11399538757765168,0.11683316227767357,0.13330452970167336,0.11324326692618211,0.03743623231640844,0.02138368595014631,0.01291498472149341,0.008112187757135484,0.003992261255500339,0.0023293252300600467,0.12251112119257787
85.8210654956,0.12251112119257787,0.1101909494902252,0.12579022798814762,0.12046431673725064,0.12225889242967711,0.11399538757765168,0.11683316227767357,0.13330452970167336,0.03859471409970791,0.021341807571341992,0.01285720191087905,0.008273766848750056,0.004107020673254926,0.0023025192211935065,0.1237325255587248
